Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Abbotsford,68 Studley St,2,h,1009507.4753572855,SS,Jellis,3/09/2016,2.5,3067.0,2.0,1.0,1.0,126.0,,,Yarra City Council,-37.8014,144.9958,Northern Metropolitan,4019.0
Abbotsford,18/659 Victoria St,3,u,1203368.5648031353,VB,Rounds,4/02/2016,2.5,3067.0,3.0,2.0,1.0,0.0,,,Yarra City Council,-37.8114,145.0116,Northern Metropolitan,4019.0
Abbotsford,16 Maugie St,4,h,1600396.20750602,SN,Nelson,6/08/2016,2.5,3067.0,3.0,2.0,2.0,400.0,220.0,2006.0,Yarra City Council,-37.7965,144.9965,Northern Metropolitan,4019.0
Abbotsford,53 Turner St,2,h,1230572.0349572266,S,Biggin,6/08/2016,2.5,3067.0,4.0,1.0,2.0,201.0,,1900.0,Yarra City Council,-37.7995,144.9974,Northern Metropolitan,4019.0
Abbotsford,99 Turner St,2,h,1356377.2760678986,S,Collins,6/08/2016,2.5,3067.0,3.0,2.0,1.0,202.0,,1900.0,Yarra City Council,-37.7996,144.9989,Northern Metropolitan,4019.0
Abbotsford,121/56 Nicholson St,2,u,662159.7491031133,PI,Biggin,7/11/2016,2.5,3067.0,2.0,2.0,1.0,4292.0,82.0,2009.0,Yarra City Council,-37.8078,144.9965,Northern Metropolitan,4019.0
Abbotsford,17 Raphael St,4,h,1500195.050496334,W,Biggin,7/11/2016,2.5,3067.0,6.0,2.0,0.0,230.0,147.0,1860.0,Yarra City Council,-37.8066,144.9936,Northern Metropolitan,4019.0
Abbotsford,2 Rich St,2,h,1098769.2345047565,SP,Biggin,10/12/2016,2.5,3067.0,2.0,1.0,1.0,176.0,80.0,1925.0,Yarra City Council,-37.7998,144.9972,Northern Metropolitan,4019.0
Abbotsford,16/11 Nicholson St,3,u,961845.7368779506,PI,Philip,16/04/2016,2.5,3067.0,3.0,2.0,2.0,0.0,129.0,2010.0,Yarra City Council,-37.8093,144.9959,Northern Metropolitan,4019.0
Abbotsford,16b Mollison St,2,h,,PI,Biggin,16/07/2016,2.5,3067.0,,,,,,,Yarra City Council,,,Northern Metropolitan,4019.0
